,Brand,Model,Price,Color,RAM (GB),ROM (GB),Rating,Battery (mAh),Display (inch),Camera,Processor
136,realme,9,21989,5G SE Starry Glow,8,128.0,4.3,5000.0,6.6,48MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 778G
137,realme,C31,8049,Light Silver,3,32.0,4.5,5000.0,2,13MP + 2MP + 0.3MP | 5MP Front,Unisoc T612
138,realme,Narzo,32955,60 Pro 5G Mars Orange,12,,4.0,5000.0,6.7,100MP Rear,
139,realme,Narzo,31880,60 Pro 5G Cosmic Black,12,,4.0,5000.0,6.7,100MP Rear,
140,realme,Narzo,26900,60 Pro 5G Mars Orange,12,256.0,4.0,5000.0,6.7,100MP Rear,
141,realme,Narzo,12499,50A Oxygen Blue,4,128.0,4.4,6000.0,6.5,50MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
142,realme,Narzo,11499,50A Oxygen Green,4,64.0,4.4,6000.0,6.5,50MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
143,realme,Narzo,12499,50A Oxygen Green,4,128.0,4.4,6000.0,6.5,50MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
144,realme,Narzo,26990,60 pro 5G Cosmic Black,12,256.0,4.0,5000.0,6.7,100MP Rear,
145,realme,9,13999,5G Meteor Black,4,64.0,4.5,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
146,realme,C30s,8479,Stripe Black,4,64.0,4.2,5000.0,6.5,8MP Rear,Unisoc SC9863A/ Unisoc SC9863A1
147,realme,C11,8999,2021 Cool Blue,4,64.0,4.3,5000.0,6.5,8MP Rear,Octa-core
148,realme,Narzo,12990,50A Prime Flash Blue,4,128.0,4.1,5000.0,6.6,50MP Rear,
149,realme,Narzo,12290,50A Prime Flash Blue,4,64.0,4.1,5000.0,6.6,50MP Rear,
150,realme,Narzo,12290,50A Prime Flash Black,4,64.0,4.1,5000.0,6.6,50MP Rear,
151,realme,C25s,11998,Watery Grey,4,128.0,4.4,6000.0,6.5,13MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
152,realme,Narzo,7990,50i Prime Dark Blue,3,32.0,4.2,5000.0,6.5,8MP Rear,Unisoc T612 processor
153,realme,Narzo,10488,N53 Feather Gold,4,64.0,4.2,5000.0,4,50MP Rear,
154,realme,Narzo,11499,50A Oxygen Blue,4,64.0,4.4,6000.0,6.5,50MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
155,realme,Narzo,21990,50 Pro 5G Hyper Blue,8,128.0,4.1,5000.0,6.4,48MP Rear,Dimensity 920 5G
156,realme,Narzo,14890,50 Speed Blue,4,64.0,4.4,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Mediatek Helio G96
157,realme,GT,25999,5G Dashing Blue,8,128.0,4.3,4500.0,3,64MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 888
158,realme,8i,11499,Space Purple,4,64.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,MediaTek Helio G96
159,realme,C30s,8399,Night Black,4,64.0,4.2,5000.0,6.5,8MP Rear,Unisoc SC9863A/ Unisoc SC9863A1
160,realme,X3,34999,SuperZoom Arctic White,12,256.0,4.2,4200.0,7,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front,Qualcomm Snapdragon 855+
161,realme,8i,17999,Space Black,6,128.0,4.4,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,MediaTek Helio G96
162,realme,Narzo,21999,30 Pro 5G Blade Silver,8,128.0,4.3,5000.0,6.5,48MP + 8MP + 2MP | 16MP Front,MediaTek Dimensity 800U
163,realme,C21,9499,Cross Blue,3,32.0,4.4,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,MediaTek Helio G35
164,realme,C21,10499,Cross Black,4,64.0,4.4,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,MediaTek Helio G35
165,realme,C25Y,12999,Metal Grey,4,64.0,4.4,5000.0,6.5,50MP + 2MP + 2MP | 8MP Front,Unisoc T610 Octa Core
166,realme,GT,25999,5G Dashing Silver,8,128.0,4.3,4500.0,3,64MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 888
167,realme,narzo,8999,50i Prime Mint Green,3,32.0,4.2,5000.0,6.5,8MP Rear,Unisoc Tiger T612 (12 nm)
168,realme,X2,21825,Pro Neptune Blue,8,128.0,4.5,4000.0,6.5,64MP + 13MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 855 Plus
169,realme,narzo,8999,50i Prime Mint Green,3,32.0,4.2,5000.0,6.5,8MP Rear,Unisoc Tiger T612 (12 nm)
170,realme,C21Y,7499,Cross Blue,3,32.0,4.6,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,Unisoc T610
171,realme,C21Y,7499,Cross Black,3,32.0,4.6,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,Unisoc T610
172,realme,C21Y,8499,Cross Black,4,64.0,4.5,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,Unisoc T610
173,realme,GT,29999,5G Racing Yellow,12,256.0,4.3,4500.0,3,64MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 888
174,realme,Narzo,21999,30 Pro 5G Blade Silver,8,128.0,4.3,5000.0,6.5,48MP + 8MP + 2MP | 16MP Front,MediaTek Dimensity 800U
175,realme,9i,14499,Prism Black,4,64.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 680 (SM6225)
176,realme,GT,26999,Neo 3 Sprint White,8,128.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
177,realme,2,13299,Pro Blue Ocean,6,64.0,4.5,3500.0,6.3,16MP + 2MP | 16MP Front,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE
178,realme,2,13990,Pro Black Sea,4,64.0,4.5,3500.0,6.3,16MP + 2MP | 16MP Front,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE
179,realme,C31,8749,Light Silver,4,64.0,4.4,5000.0,2,13MP + 2MP + 0.3MP | 5MP Front,Unisoc T612
180,realme,GT,28999,Neo 3 Nitro Blue,8,256.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
181,realme,GT,28999,Neo 3 Sprint White,8,256.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
182,realme,C25,10999,Grey,4,64.0,4.5,5000.0,6.5,50MP + 2MP + 2MP | 8MP Front,Unisoc T618
183,realme,C25Y,12999,Metal Grey,4,64.0,4.4,5000.0,6.5,50MP + 2MP + 2MP | 8MP Front,Unisoc T610 Octa Core
184,realme,C25Y,8999,Glacier Blue,4,64.0,4.4,5000.0,6.5,50MP + 2MP + 2MP | 8MP Front,Unisoc T610 Octa Core
185,realme,GT,26999,Neo 3 Asphalt Black,8,128.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
186,realme,8,15499,Cyber Black,8,128.0,4.4,5000.0,6.4,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
187,realme,9i,11999,Prism Blue,4,64.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 680 (SM6225)
188,realme,3i,10499,Diamond Red,4,64.0,4.4,4230.0,2,13MP + 2MP | 13MP Front,MediaTek Helio P60 Octa Core 2.0 GHz
189,realme,3i,8199,Diamond Blue,3,32.0,4.4,4230.0,2,13MP + 2MP | 13MP Front,MediaTek Helio P60 Octa Core 2.0 GHz
190,realme,3i,10499,Diamond Blue,4,64.0,4.4,4230.0,2,13MP + 2MP | 13MP Front,MediaTek Helio P60 Octa Core 2.0 GHz
191,realme,3i,10499,Diamond Black,4,64.0,4.4,4230.0,2,13MP + 2MP | 13MP Front,MediaTek Helio P60 Octa Core 2.0 GHz
192,Realme,C30,5549,- Locked with Airtel Prepaid Lake Blue,2,32.0,4.2,5000.0,6.5,8MP Rear,Unisoc T612
193,realme,9,14999,5G SE Starry Glow,6,128.0,4.4,5000.0,6.6,48MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 778G
194,realme,9,14999,5G SE Azure Glow,6,128.0,4.4,5000.0,6.6,48MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 778G
195,realme,9,15499,5G Stargaze White,6,128.0,4.4,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
196,realme,XT,19980,Pearl Blue,8,128.0,4.5,4000.0,6.4,64MP + 8MP + 2MP + 2MP Quad,Qualcomm 712
197,realme,Narzo,12499,50A Prime Flash Black,4,128.0,4.1,5000.0,6.6,50MP Rear,
198,realme,C25s,9261,Watery Blue,4,128.0,4.4,6000.0,6.5,13MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
199,Realme,C30,5549,- Locked with Airtel Prepaid Denim Black,2,32.0,4.2,5000.0,6.5,8MP Rear,Unisoc T612
200,Realme,C30,6049,- Locked with Airtel Prepaid Denim Black,3,32.0,4.1,5000.0,6.5,8MP Rear,Unisoc T612
201,realme,9,15499,5G Meteor Black,6,128.0,4.4,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
202,realme,6,13999,Pro Lightning Orange,6,64.0,4.4,4300.0,6.6,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front,Snapdragon 720G
203,realme,9,13999,5G Supersonic Blue,4,64.0,4.5,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
204,realme,9,15499,5G Supersonic Black,6,128.0,4.4,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
205,realme,9,15499,5G Supersonic Blue,6,128.0,4.4,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
206,realme,9,13999,5G Supersonic Black,4,64.0,4.5,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
207,realme,9,13999,5G Stargaze White,4,64.0,4.5,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,Mediatek Dimensity 810
208,realme,Narzo,19490,50 Pro 5G Hyper Blue,6,128.0,4.3,5000.0,6.4,48MP Rear,Dimensity 920 5G
209,realme,Narzo,12399,50A Prime Flash Blue,4,128.0,4.1,5000.0,6.6,50MP Rear,
210,realme,8i,17888,Space Purple,6,128.0,4.4,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,MediaTek Helio G96
211,realme,8i,11499,Space Black,4,64.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,MediaTek Helio G96
212,realme,C21Y,8499,Cross Blue,4,64.0,4.5,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,Unisoc T610
213,realme,C15,12999,Power Blue,4,64.0,4.4,6000.0,2,13MP + 8MP + 2MP + 2MP | 8MP Front,Mediatek Helio G35
214,realme,C15,12999,Power Silver,4,64.0,4.4,6000.0,2,13MP + 8MP + 2MP + 2MP | 8MP Front,Mediatek Helio G35
215,realme,X2,26899,Pro Lunar White,12,256.0,4.6,4000.0,6.5,64MP + 13MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 855 Plus
216,realme,9,17999,Stargaze White,8,128.0,4.4,5000.0,6.4,108MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 680
217,realme,X50,41999,Pro Rust Red,8,128.0,4.4,4200.0,4,64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front,Qualcomm Snapdragon 865
218,realme,C21Y,8499,Cross Blue,4,64.0,4.5,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,Unisoc T610
219,realme,X2,26899,Pro Lunar White,12,256.0,4.6,4000.0,6.5,64MP + 13MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 855 Plus
220,realme,9,16999,Meteor Black,6,128.0,4.4,5000.0,6.4,108MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 680
221,realme,C15,12999,Power Blue,4,64.0,4.4,6000.0,2,13MP + 8MP + 2MP + 2MP | 8MP Front,Mediatek Helio G35
222,realme,C15,12999,Power Silver,4,64.0,4.4,6000.0,2,13MP + 8MP + 2MP + 2MP | 8MP Front,Mediatek Helio G35
223,realme,9,17999,Meteor Black,8,128.0,4.4,5000.0,6.4,108MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 680
224,realme,X7,19999,5G Space Silver,6,128.0,4.3,4310.0,3,64MP + 8MP + 2MP | 16MP Front,MediaTek Dimensity 800U
225,realme,9,17999,Sunburst Gold,8,128.0,4.4,5000.0,6.4,108MP + 8MP + 2MP | 16MP Front,Qualcomm Snapdragon 680
226,realme,2,9290,Diamond Black,3,32.0,4.5,4230.0,6.2,13MP + 2MP | 8MP Front,Qualcomm Snapdragon 450 Octa Core 1.8 GHz
227,realme,C25s,10309,Watery Grey,4,64.0,4.4,6000.0,6.5,13MP + 2MP + 2MP | 8MP Front,MediaTek Helio G85
228,realme,Narzo,11999,50A Prime Flash Black,4,128.0,4.1,5000.0,6.6,50MP Rear,
229,realme,Narzo,15999,30 Pro 5G Sword Black,8,128.0,4.3,5000.0,6.5,48MP + 8MP + 2MP | 16MP Front,MediaTek Dimensity 800U
230,realme,8,18499,5G Supersonic Blue,8,128.0,4.4,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,MediaTek Dimensity 700 (MT6833)
231,realme,8,16499,5G Supersonic Blue,4,128.0,4.3,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,MediaTek Dimensity 700 (MT6833)
232,realme,8,16499,5G Supersonic Black,4,128.0,4.3,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,MediaTek Dimensity 700 (MT6833)
233,realme,8,15499,5G Supersonic Black,4,64.0,4.3,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,MediaTek Dimensity 700 (MT6833)
234,realme,8,15499,5G Supersonic Blue,4,64.0,4.3,5000.0,6.5,48MP + 2MP + 2MP | 16MP Front,MediaTek Dimensity 700 (MT6833)
235,realme,C35,9699,Glowing Green,4,64.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
